"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"All Saints Margaret Street","all-saints-margaret-street-london","Anglican","anglican","United Kingdom","London","7 Margaret Street, London, UK","Rev. Alan","[https://asms.uk](https://asms.uk)","+44 20 7636 1788","office@asms.uk","A masterpiece of High Victorian Gothic architecture, famous for its Anglo-Catholic tradition.","Beauty and holiness.","1849","600","5","false","true","true",null
"Brompton Oratory","brompton-oratory-london","Catholic","catholic","United Kingdom","London","Brompton Road, London, UK","Fr. Rector","[https://bromptonoratory.co.uk](https://bromptonoratory.co.uk)","+44 20 7581 3763","info@bromptonoratory.org","An ornate Italian Baroque church in Kensington, home to the Congregation of the Oratory.","Splendor in the service of God.","1884","3000","12","false","true","true",null
"Christ Church Spitalfields","christ-church-spitalfields-london","Anglican","anglican","United Kingdom","London","Commercial Street, London, UK","Rev. Darren","[https://ccspitalfields.org](https://ccspitalfields.org)","+44 20 7377 2440","info@ccspitalfields.org","A masterpiece by Nicholas Hawksmoor, serving as a landmark in the East End of London.","Renewal in Spitalfields.","1714","800","6","false","true","true",null
"St. Alphege Greenwich","st-alphege-greenwich-london","Anglican","anglican","United Kingdom","London","Greenwich, London, UK","Rev. Chris","[https://st-alphege.org.uk](https://st-alphege.org.uk)","+44 20 8858 6828","office@st-alphege.org.uk","A historic church in Greenwich where St. Alphege was martyred, built by Hawksmoor.","Legacy of the martyr.","1712","500","5","false","true","true",null
"St. Anne Limehouse","st-anne-limehouse-london","Anglican","anglican","United Kingdom","London","Limehouse, London, UK","Rev. Richard","[https://stannielimehouse.org](https://stannielimehouse.org)","+44 20 7987 1940","info@stanne.org.uk","A Hawksmoor church serving the docklands community with a long maritime history.","Grace in the docklands.","1714","400","4","false","true","true",null
"St. George Bloomsbury","st-george-bloomsbury-london","Anglican","anglican","United Kingdom","London","Bloomsbury, London, UK","Rev. David","[https://stgeorgebloomsbury.org.uk](https://stgeorgebloomsbury.org.uk)","+44 20 7242 1975","office@stgeorge.org.uk","Located near the British Museum, this church is famous for its pyramid spire and history.","Faith in Bloomsbury.","1716","600","5","false","true","true",null
"St. George in the East","st-george-in-the-east-london","Anglican","anglican","United Kingdom","London","Wapping, London, UK","Rev. Paul","[https://stgeorgeintheeast.org](https://stgeorgeintheeast.org)","+44 20 7481 1345","info@stgeorge.org.uk","A Wapping landmark rebuilt after the Blitz, known for its creative community engagement.","Hope in Wapping.","1714","300","4","false","true","true",null
"St. George Hanover Square","st-george-hanover-square-london","Anglican","anglican","United Kingdom","London","Hanover Square, London, UK","Rev. Roderick","[https://stgeorgeshanoversquare.org](https://stgeorgeshanoversquare.org)","+44 20 7629 0874","office@stgeorges.org.uk","A fashionable wedding venue since the 18th century, with ties to Handel.","Grace in the West End.","1720","500","5","false","true","true",null
"St. John Smith Square","st-john-smith-square-london","Anglican","anglican","United Kingdom","London","Westminster, London, UK","Dean of Westminster","[https://sjss.org.uk](https://sjss.org.uk)","+44 20 7222 1061","info@sjss.org.uk","Known as the 'Queen Anne's footstool', now a premier concert hall and place of prayer.","Faith and music.","1713","400","4","false","true","true",null
"St. Luke Old Street","st-luke-old-street-london","Anglican","anglican","United Kingdom","London","Old Street, London, UK","Rev. Luke","[https://stlukesoldstreet.org.uk](https://stlukesoldstreet.org.uk)","+44 20 7251 1234","info@stlukes.org.uk","A historic church in Shoreditch now serving as a center for the LSO and local worship.","Sound and spirit.","1727","300","3","false","true","true",null
"St. Mary le Strand","st-mary-le-strand-london","Anglican","anglican","United Kingdom","London","Strand, London, UK","Rev. Peter","[https://stmarylestrand.com](https://stmarylestrand.com)","+44 20 7836 3205","info@stmary.org.uk","An jewel-like church in the middle of the Strand, famous for its architecture.","Jewel on the Strand.","1714","200","3","false","true","true",null
"St. Mary Woolnoth","st-mary-woolnoth-london","Anglican","anglican","United Kingdom","London","Lombard St, London, UK","Rev. John","[https://stmarywoolnoth.org](https://stmarywoolnoth.org)","+44 20 7626 9701","info@stmarywoolnoth.org","A compact Hawksmoor masterpiece in the financial district, once home to John Newton.","Grace in the city.","1716","150","2","false","true","true",null
"St. George Gravesend","st-george-gravesend-gravesend","Anglican","anglican","United Kingdom","London","Gravesend, UK","Rev. George","[https://stgeorge-gravesend.org.uk](https://stgeorge-gravesend.org.uk)","+44 1474 532134","info@stgeorge.org.uk","A historic church where Pocahontas is buried, serving the Gravesend community.","Legacy and life.","1731","400","4","false","true","true",null
"St. George the Martyr","st-george-the-martyr-london","Anglican","anglican","United Kingdom","London","Borough High St, London, UK","Rev. Southwark","[https://stgeorge-themartyr.co.uk](https://stgeorge-themartyr.co.uk)","+44 20 7407 2796","info@stgeorge.org.uk","The church of 'Little Dorrit', a historic site in Southwark with deep Dickensian ties.","Faith in Southwark.","1734","500","5","false","true","true",null
"St. Giles in the Fields","st-giles-in-the-fields-london","Anglican","anglican","United Kingdom","London","St Giles High St, London, UK","Rev. Alan","[https://stgilesonline.org](https://stgilesonline.org)","+44 20 7240 2532","info@stgiles.org.uk","Known as the 'Poets' Church', it has served the West End for centuries.","Sanctuary in the fields.","1731","400","4","false","true","true",null
"St. Michael Cornhill","st-michael-cornhill-london","Anglican","anglican","United Kingdom","London","Cornhill, London, UK","Rev. Peter","[https://st-michaels.org.uk](https://st-michaels.org.uk)","+44 20 7248 3848","office@st-michael.org.uk","A historic church with a tower completed by Hawksmoor, located in the City.","Witness in the city.","1718","300","3","false","true","true",null
"St. John Clerkenwell","st-john-clerkenwell-london","Anglican","anglican","United Kingdom","London","Clerkenwell, London, UK","Rev. John","[https://stjohnclerkenwell.org.uk](https://stjohnclerkenwell.org.uk)","+44 20 7253 1103","info@stjohn.org.uk","Built on the site of the Priory of the Knights of St. John, a place of peace and history.","Legacy of the order.","1723","200","3","false","true","true",null
"Metropolitan Cathedral Mexico City","metropolitan-cathedral-mexico-city","Catholic","catholic","Mexico","Mexico City","Plaza de la Constitución, Mexico City, Mexico","Cardinal Carlos Aguiar Retes","[https://catedralmetropolitanademexico.mx](https://catedralmetropolitanademexico.mx)","+52 55 5130 2100","info@catedral.org.mx","The oldest and largest cathedral in the Americas, built over the sacred precinct of the Aztecs.","Spiritual heart of Mexico.","1573","20000","25","false","true","true",null
"Basilica of Our Lady of Guadalupe","basilica-guadalupe-mexico-city","Catholic","catholic","Mexico","Mexico City","Villa de Guadalupe, Mexico City, Mexico","Monsignor Salvador Martínez","[https://virgendeguadalupe.org.mx](https://virgendeguadalupe.org.mx)","+52 55 5118 0500","info@basilica.mx","One of the most visited Catholic pilgrimage sites in the world, honoring the Virgin Mary.","Shelter under the mantle of Mary.","1531","100000","50","false","true","true",null
"Catedral da Sé São Paulo","cathedral-se-sao-paulo","Catholic","catholic","Brazil","São Paulo","Praça da Sé, São Paulo, Brazil","Cardinal Odilo Scherer","[https://catedraldase.org.br](https://catedraldase.org.br)","+55 11 3107 6832","info@catedral.org.br","A neo-gothic monument in the center of São Paulo, one of the largest in the world.","Unity in the heart of Brazil.","1913","15000","20","false","true","true",null
"Igreja de São Francisco Salvador","sao-francisco-salvador","Catholic","catholic","Brazil","Salvador","Largo do Cruzeiro de São Francisco, Salvador, Brazil","Fr. Guardian","[http://saofrancisco.org.br](http://saofrancisco.org.br)","+55 71 3322 6430","info@saofrancisco.br","Famous for its elaborate gold-leaf interiors, a masterpiece of Baroque art in Brazil.","Glory of the Baroque.","1708","2000","10","false","true","true",null
"Catedral Primada de Colombia","catedral-primada-bogota","Catholic","catholic","Colombia","Bogotá","Plaza de Bolívar, Bogotá, Colombia","Archbishop Luis José Rueda","[https://arquibogota.org.co](https://arquibogota.org.co)","+57 601 341 1954","info@catedralprimada.org.co","The seat of the Roman Catholic Archdiocese of Bogotá, a national monument.","Faith in the heart of Colombia.","1807","8000","15","false","true","true",null
"Metropolitan Cathedral Buenos Aires","metropolitan-cathedral-buenos-aires","Catholic","catholic","Argentina","Buenos Aires","Plaza de Mayo, Buenos Aires, Argentina","Cardinal Mario Poli","[https://catedralbuenosaires.org.ar](https://catedralbuenosaires.org.ar)","+54 11 4343 0812","info@catedral.org.ar","The main Catholic church in Buenos Aires, housing the tomb of General José de San Martín.","Faith and history in the Plaza de Mayo.","1752","10000","15","false","true","true",null
"St. Thomas Cathedral Mumbai","st-thomas-cathedral-mumbai","Anglican","anglican","India","Mumbai","Fort, Mumbai, India","Rev. Bishop","[http://stthomascathedralmumbai.com](http://stthomascathedralmumbai.com)","+91 22 2266 0995","info@stthomas.org.in","The first Anglican church in Mumbai, a heritage site in the city's financial heart.","Peace in the fort.","1718","1000","6","false","true","true",null
"All Saints Cathedral Allahabad","all-saints-cathedral-allahabad","Anglican","anglican","India","Allahabad","Civil Lines, Prayagraj, India","Rev. Dean","[http://allsaintscathedral.in](http://allsaintscathedral.in)","+91 53 2242 0482","info@allsaints.org.in","Known as the 'Patthar Church', a gothic masterpiece in North India.","Grace in North India.","1871","1500","8","false","true","true",null
"Catedral Metropolitana de Santiago","catedral-santiago-santiago","Catholic","catholic","Chile","Santiago","Plaza de Armas, Santiago, Chile","Cardinal Celestino Aós","[https://iglesiadesantiago.cl](https://iglesiadesantiago.cl)","+56 2 2787 5600","info@catedral.cl","The center of Catholic life in Chile, located on the historic Plaza de Armas.","Light for Santiago.","1748","12000","18","false","true","true",null
"St. Paul's Cathedral Melbourne","st-pauls-cathedral-melbourne","Anglican","anglican","Australia","Melbourne","Flinders St, Melbourne, VIC, Australia","Dean Andreas Loewe","[https://cathedral.org.au](https://cathedral.org.au)","+61 3 9653 4333","welcome@stpaulscathedral.org.au","An architectural landmark in Melbourne, serving as a spiritual home for all.","A house of prayer for all people.","1891","3000","12","false","true","true","[https://cathedral.org.au/give](https://cathedral.org.au/give)"
